country,period,scenario,value
ZAF:petrosa,2048,high_demand,0
ZAF:enref,2049,high_demand,0
ZAF:sapref,2049,high_demand,0
ZAF:natref,2049,high_demand,0.85
ZAF:sasol,2049,high_demand,0.792
ZAF:astron,2049,high_demand,0.9
ZAF:petrosa,2049,high_demand,0
ZAF:enref,2050,high_demand,0
ZAF:sapref,2050,high_demand,0
ZAF:natref,2050,high_demand,0.85
ZAF:sasol,2050,high_demand,0.792
ZAF:astron,2050,high_demand,0.9
ZAF:petrosa,2050,high_demand,0
ZAF:enref,2022,high_demand,0
ZAF:sapref,2022,high_demand,0
ZAF:natref,2022,high_demand,0.873
ZAF:sasol,2022,high_demand,0.8947
ZAF:astron,2022,high_demand,0
ZAF:petrosa,2022,high_demand,0
ZAF:enref,2023,high_demand,0
ZAF:sapref,2023,high_demand,0
ZAF:natref,2023,high_demand,0.875
ZAF:sasol,2023,high_demand,0.9013
ZAF:astron,2023,high_demand,0.5
ZAF:petrosa,2023,high_demand,0
ZAF:enref,2024,high_demand,0
ZAF:sapref,2024,high_demand,0
ZAF:natref,2024,high_demand,0.7
ZAF:sasol,2024,high_demand,0.9079
ZAF:astron,2024,high_demand,0.8
ZAF:petrosa,2024,high_demand,0
ZAF:enref,2025,high_demand,0
ZAF:sapref,2025,high_demand,0
ZAF:natref,2025,high_demand,0.7
ZAF:sasol,2025,high_demand,0.9145
ZAF:astron,2025,high_demand,0.8
ZAF:petrosa,2025,high_demand,0
ZAF:enref,2026,high_demand,0
ZAF:sapref,2026,high_demand,0
ZAF:natref,2026,high_demand,0.7
ZAF:sasol,2026,high_demand,0.9211
ZAF:astron,2026,high_demand,0.8
ZAF:petrosa,2026,high_demand,0
ZAF:enref,2027,high_demand,0
ZAF:sapref,2027,high_demand,0
ZAF:natref,2027,high_demand,0.7
ZAF:sasol,2027,high_demand,0.9277
ZAF:astron,2027,high_demand,0.8
ZAF:petrosa,2027,high_demand,0
ZAF:enref,2028,high_demand,0
ZAF:sapref,2028,high_demand,0
ZAF:natref,2028,high_demand,0.7
ZAF:sasol,2028,high_demand,0.9342
ZAF:astron,2028,high_demand,0.8
ZAF:petrosa,2028,high_demand,0
ZAF:enref,2029,high_demand,0
ZAF:sapref,2029,high_demand,0
ZAF:natref,2029,high_demand,0.7
ZAF:sasol,2029,high_demand,0.8781
ZAF:astron,2029,high_demand,0.8
ZAF:petrosa,2029,high_demand,0
ZAF:enref,2030,high_demand,0
ZAF:sapref,2030,high_demand,0
ZAF:natref,2030,high_demand,0.7
ZAF:sasol,2030,high_demand,0.8781
ZAF:astron,2030,high_demand,0.8
ZAF:petrosa,2030,high_demand,0
ZAF:enref,2031,high_demand,0
ZAF:sapref,2031,high_demand,0
ZAF:natref,2031,high_demand,0
ZAF:sasol,2031,high_demand,0.8781
ZAF:astron,2031,high_demand,0.8
ZAF:petrosa,2031,high_demand,0
ZAF:enref,2032,high_demand,0
ZAF:sapref,2032,high_demand,0
ZAF:natref,2032,high_demand,0
ZAF:sasol,2032,high_demand,0.8781
ZAF:astron,2032,high_demand,0.8
ZAF:petrosa,2032,high_demand,0
ZAF:enref,2033,high_demand,0
ZAF:sapref,2033,high_demand,0
ZAF:natref,2033,high_demand,0
ZAF:sasol,2033,high_demand,0.8444
ZAF:astron,2033,high_demand,0.8
ZAF:petrosa,2033,high_demand,0
ZAF:enref,2034,high_demand,0
ZAF:sapref,2034,high_demand,0
ZAF:natref,2034,high_demand,0
ZAF:sasol,2034,high_demand,0.8107
ZAF:astron,2034,high_demand,0.8
ZAF:petrosa,2034,high_demand,0
ZAF:enref,2035,high_demand,0
ZAF:sapref,2035,high_demand,0
ZAF:natref,2035,high_demand,0
ZAF:sasol,2035,high_demand,0.777
ZAF:astron,2035,high_demand,0.8
ZAF:petrosa,2035,high_demand,0
ZAF:enref,2036,high_demand,0
ZAF:sapref,2036,high_demand,0
ZAF:natref,2036,high_demand,0
ZAF:sasol,2036,high_demand,0.777
ZAF:astron,2036,high_demand,0.8
ZAF:petrosa,2036,high_demand,0
ZAF:enref,2037,high_demand,0
ZAF:sapref,2037,high_demand,0
ZAF:natref,2037,high_demand,0
ZAF:sasol,2037,high_demand,0.777
ZAF:astron,2037,high_demand,0.8
ZAF:petrosa,2037,high_demand,0
ZAF:enref,2038,high_demand,0
ZAF:sapref,2038,high_demand,0
ZAF:natref,2038,high_demand,0
ZAF:sasol,2038,high_demand,0.777
ZAF:astron,2038,high_demand,0.8
ZAF:petrosa,2038,high_demand,0
ZAF:enref,2039,high_demand,0
ZAF:sapref,2039,high_demand,0
ZAF:natref,2039,high_demand,0
ZAF:sasol,2039,high_demand,0.777
ZAF:astron,2039,high_demand,0.8
ZAF:petrosa,2039,high_demand,0
ZAF:enref,2040,high_demand,0
ZAF:sapref,2040,high_demand,0
ZAF:natref,2040,high_demand,0
ZAF:sasol,2040,high_demand,0.777
ZAF:astron,2040,high_demand,0.8
ZAF:petrosa,2040,high_demand,0
ZAF:enref,2041,high_demand,0
ZAF:sapref,2041,high_demand,0
ZAF:natref,2041,high_demand,0
ZAF:sasol,2041,high_demand,0
ZAF:astron,2041,high_demand,0.8
ZAF:petrosa,2041,high_demand,0
ZAF:enref,2042,high_demand,0
ZAF:sapref,2042,high_demand,0
ZAF:natref,2042,high_demand,0
ZAF:sasol,2042,high_demand,0
ZAF:astron,2042,high_demand,0.8
ZAF:petrosa,2042,high_demand,0
ZAF:enref,2043,high_demand,0
ZAF:sapref,2043,high_demand,0
ZAF:natref,2043,high_demand,0
ZAF:sasol,2043,high_demand,0
ZAF:astron,2043,high_demand,0.8
ZAF:petrosa,2043,high_demand,0
ZAF:enref,2044,high_demand,0
ZAF:sapref,2044,high_demand,0
ZAF:natref,2044,high_demand,0
ZAF:sasol,2044,high_demand,0
ZAF:astron,2044,high_demand,0.8
ZAF:petrosa,2044,high_demand,0
ZAF:enref,2045,high_demand,0
ZAF:sapref,2045,high_demand,0
ZAF:natref,2045,high_demand,0
ZAF:sasol,2045,high_demand,0
ZAF:astron,2045,high_demand,0.8
ZAF:petrosa,2045,high_demand,0
ZAF:enref,2046,high_demand,0
ZAF:sapref,2046,high_demand,0
ZAF:natref,2046,high_demand,0
ZAF:sasol,2046,high_demand,0
ZAF:astron,2046,high_demand,0.8
ZAF:petrosa,2046,high_demand,0
ZAF:enref,2047,high_demand,0
ZAF:sapref,2047,high_demand,0
ZAF:natref,2047,high_demand,0
ZAF:sasol,2047,high_demand,0
ZAF:astron,2047,high_demand,0.8
ZAF:petrosa,2047,high_demand,0
ZAF:enref,2048,high_demand,0
ZAF:sapref,2048,high_demand,0
ZAF:natref,2048,high_demand,0
ZAF:sasol,2048,high_demand,0
ZAF:astron,2048,high_demand,0.8
ZAF:petrosa,2048,high_demand,0
ZAF:enref,2049,high_demand,0
ZAF:sapref,2049,high_demand,0
ZAF:natref,2049,high_demand,0
ZAF:sasol,2049,high_demand,0
ZAF:astron,2049,high_demand,0.8
ZAF:petrosa,2049,high_demand,0
ZAF:enref,2050,high_demand,0
ZAF:sapref,2050,high_demand,0
ZAF:natref,2050,high_demand,0
ZAF:sasol,2050,high_demand,0
ZAF:astron,2050,high_demand,0.8
ZAF:petrosa,2050,high_demand,0
ZAF:enref,2022,high_demand,0.45
ZAF:natref,2022,high_demand,2022
ZAF:sasol,2022,high_demand,1
ZAF:enref,2023,high_demand,0.5603
ZAF:natref,2023,high_demand,2023
ZAF:sasol,2023,high_demand,1
ZAF:enref,2024,high_demand,0.5456
ZAF:natref,2024,high_demand,2024
ZAF:sasol,2024,high_demand,1
ZAF:enref,2025,high_demand,0.626
ZAF:natref,2025,high_demand,2025
ZAF:sasol,2025,high_demand,1
ZAF:enref,2026,high_demand,0.14133780969896842
ZAF:natref,2026,high_demand,2026
ZAF:sasol,2026,high_demand,1
ZAF:enref,2027,high_demand,0.1461268140643498
ZAF:natref,2027,high_demand,2027
ZAF:sasol,2027,high_demand,1
ZAF:enref,2028,high_demand,0.15091581842973117
ZAF:natref,2028,high_demand,2028
ZAF:sasol,2028,high_demand,1
ZAF:enref,2029,high_demand,0.15570482279511255
ZAF:natref,2029,high_demand,2029
ZAF:sasol,2029,high_demand,1
ZAF:enref,2030,high_demand,0.16049382716049385
ZAF:natref,2030,high_demand,2030
ZAF:sasol,2030,high_demand,1
ZAF:enref,2031,high_demand,0.16049382716049385
ZAF:natref,2031,high_demand,2031
ZAF:sasol,2031,high_demand,1
ZAF:enref,2032,high_demand,0.16049382716049385
ZAF:natref,2032,high_demand,2032
ZAF:sasol,2032,high_demand,1
ZAF:enref,2033,high_demand,0.16049382716049385
ZAF:natref,2033,high_demand,2033
ZAF:sasol,2033,high_demand,1
ZAF:enref,2034,high_demand,0.16049382716049385
ZAF:natref,2034,high_demand,2034
ZAF:sasol,2034,high_demand,1
ZAF:enref,2035,high_demand,0.16049382716049385
ZAF:natref,2035,high_demand,2035
ZAF:sasol,2035,high_demand,1
ZAF:enref,2036,high_demand,0.16049382716049385
ZAF:natref,2036,high_demand,2036
ZAF:sasol,2036,high_demand,1
ZAF:enref,2037,high_demand,0.16049382716049385
ZAF:natref,2037,high_demand,2037
ZAF:sasol,2037,high_demand,1
ZAF:enref,2038,high_demand,0.16049382716049385
ZAF:natref,2038,high_demand,2038
ZAF:sasol,2038,high_demand,1
ZAF:enref,2039,high_demand,0.16049382716049385
ZAF:natref,2039,high_demand,2039
ZAF:sasol,2039,high_demand,1
ZAF:enref,2040,high_demand,0.16049382716049385
ZAF:natref,2040,high_demand,2040
